Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Date,Close Year,Close Quarter,Close Month,# of Deals Closed,Adj. Launch Date,Launch Year,Launch Quarter,Launch Month,Non-Prob. Adj. Scope ($),Probability,FY2015E ($),FY2015E Exit Run rate ($),Monthly Revenue,Date
AMOMA.com - SCA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Lynne Hamilton,AMOMA,AMOMA.com,SCA,Hotel,On Page,7/16/15,2015,3,7,0,10/14/15,2015,4,10,93667,0.10,600,9367,0,1/1/15
AMOMA.com - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Lynne Hamilton,AMOMA,AMOMA.com,SCA,Hotel,On Page,7/16/15,2015,3,7,0,10/14/15,2015,4,10,39168,0.10,251,3917,0,1/1/15
AMOMA.com UK - PPA - Hotel - OP - Details Page,Installed Base Growth,Europe,United Kingdom,Strategic,Lynne Hamilton,AMOMA,AMOMA,PPA,Hotel,On Page,5/16/15,2015,2,5,0,8/14/15,2015,3,8,57000,0.10,1490,5700,0,1/1/15
AMOMA.com UK - PPA - Hotel - OP - List Page,Installed Base Growth,Europe,United Kingdom,Strategic,Lynne Hamilton,AMOMA,AMOMA,PPA,Hotel,On Page,5/16/15,2015,2,5,0,8/14/15,2015,3,8,163000,0.10,4262,16300,0,1/1/15
AMOMA.com UK - SCA - Hotel - XU,Installed Base Growth,Europe,United Kingdom,Strategic,Lynne Hamilton,AMOMA,AMOMA,SCA,Hotel,Exit Unit,5/16/15,2015,2,5,0,8/14/15,2015,3,8,52500,0.10,1087,4200,0,1/1/15
Apollo-Galileo-Worldspan - SSN - Hotel - GDS,Installed Base,N. America,United States,Major,Rudan Zhang,Travelport LTD,Travelport,SSN,Hotel,GDS,Installed Base,Installed Base,Installed Base,Installed Base,n/a,Installed Base,Installed Base,Installed Base,Installed Base,548901,1.00,31890,4200,0,1/1/15
BookIt.com - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,PPA,Hotel,On Page,3/2/15,2015,1,3,1,5/31/15,2015,2,5,305000,0.50,76814,152500,0,1/1/15
BookIt.com - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,PPA,Hotel,On Page,1/1/15,2015,1,1,0.8,4/1/15,2015,2,4,1500000,0.75,795664,1125000,0,1/1/15
BookIt.com - SCA - Flight - XU,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Flight,Exit Unit,7/2/15,2015,3,7,0,9/30/15,2015,3,9,85000,0.10,722,6800,0,1/1/15
BookIt.com - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Package,On Page,6/16/15,2015,2,6,0.8,9/14/15,2015,3,9,630000,0.75,61531,472500,0,1/1/15
