Plan Version,Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Year,Close Quarter,Close Month,Deal ID,# of Product-Level Deals Closed (Prob. Adj.),# of Placement-Level Deals Closed (Prob. Adj.),Launch Year,Launch Quarter,Launch Month,# of Placement Launches (Prob. Adj.),Non-Prob. Adj. Scope ($),Probability,Date,Monthly Revenue,FY2015E ($),FY2015E Exit Run rate ($)
Operating,N. America Unnamed SCA Flight On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,12,,0.333333333,0.333333333,2015,4,12,0.333333333,0,1,12/1/15,51966.9558,205304.7256,755470.5192
Operating,N. America Unnamed SCA Flight Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,12,,,0.333333333,2015,4,12,0.333333333,0,1,12/1/15,34489.83066,132577.7937,501396.51
Operating,N. America Unnamed SCA Hotel On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,31893.51964,127484.662,502846.1354
Operating,N. America Unnamed SCA Hotel Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,32431.38493,125525.5488,511326.3371
Operating,N. America Unnamed SCA Car On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,12,,0.083333333,0.083333333,2015,4,12,0.083333333,0,1,12/1/15,1294.59089,3720.932386,19583.33333
Operating,N. America Unnamed SCA Car Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,12,,,0.083333333,2015,4,12,0.083333333,0,1,12/1/15,776.7545338,2232.559432,11750
Operating,N. America Unnamed SSN,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,12,,0.333333333,0.333333333,2015,4,12,0.333333333,0,1,12/1/15,45791.76557,128593.4426,721971.5042
Operating,N. America Unnamed PPA,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,68862.51571,189336.8146,1085714.286
Operating,UK Unnamed SCA Flight On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,159391.5725,636276.9407,2317157.743
Operating,UK Unnamed SCA Flight Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,105225.7395,407883.1283,1529721.009
Operating,UK Unnamed SCA Hotel On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,118583.8027,484205.9139,1869640.215
Operating,UK Unnamed SCA Hotel Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,182833.8582,720783.0798,2882632.586
Operating,UK Unnamed SCA Package On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Package,On Page,2015,4,12,,0.333333333,0.333333333,2015,4,12,0.333333333,0,1,12/1/15,5371.174968,16405.98512,81250
Operating,UK Unnamed SCA Package Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Package,Exit Unit,2015,4,12,,,0.333333333,2015,4,12,0.333333333,0,1,12/1/15,10312.65594,31499.49144,156000
Operating,UK Unnamed SCA Car On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,12,,0.166666667,0.166666667,2015,4,12,0.166666667,0,1,12/1/15,1074.234994,3281.197025,16250
Operating,UK Unnamed SCA Car Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,12,,,0.166666667,2015,4,12,0.166666667,0,1,12/1/15,859.3879948,2624.95762,13000
Operating,UK Unnamed SSN,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,12,,0.166666667,0.166666667,2015,4,12,0.166666667,0,1,12/1/15,33668.6357,143372.5909,530833.3333
Operating,UK Unnamed PPA,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,152494.2289,616856.0701,2404285.714
Operating,France Unnamed SCA Flight On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,161815.5744,534941.1986,2352396.713
Operating,France Unnamed SCA Flight Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,109536.6965,362114.0421,1592391.621
Operating,France Unnamed SCA Hotel On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,95521.4455,309860.0129,1506029.759
Operating,France Unnamed SCA Hotel Exit Unit,Unnamed,Europe,France,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,148467.6181,481610.9915,2340800.54
Operating,France Unnamed SSN,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,145668.383,706172.9514,2296666.667
Operating,France Unnamed PPA,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,121717.5168,392299.8463,1919047.619
Operating,Germany Unnamed SCA Flight On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,38234.89064,77064.25578,555840.3843
Operating,Germany Unnamed SCA Flight Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,24470.33001,49321.1237,355737.846
Operating,Germany Unnamed SCA Hotel On-Page,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,38321.99017,74351.70431,604200.0028
Operating,Germany Unnamed SCA Hotel Exit Unit,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,12,,,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,61315.18427,118962.7269,966720.0045
Operating,Germany Unnamed SSN,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,145668.383,706172.9514,2296666.667
Operating,Germany Unnamed PPA,Unnamed,Europe,Germany,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,12,,0.666666667,0.666666667,2015,4,12,0.666666667,0,1,12/1/15,83057.85886,161147.5118,1309523.81
Operating,N. America Unnamed SCA Flight On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,11,,0.333333333,0.333333333,2015,4,11,0.333333333,0,1,11/1/15,45034.42945,205304.7256,755470.5192
Operating,N. America Unnamed SCA Flight Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,11,,,0.333333333,2015,4,11,0.333333333,0,1,11/1/15,29732.95853,132577.7937,501396.51
Operating,N. America Unnamed SCA Hotel On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,26292.67487,127484.662,502846.1354
Operating,N. America Unnamed SCA Hotel Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,26596.68392,125525.5488,511326.3371
Operating,N. America Unnamed SCA Car On-Page,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,11,,0.083333333,0.083333333,2015,4,11,0.083333333,0,1,11/1/15,1031.5672,3720.932386,19583.33333
Operating,N. America Unnamed SCA Car Exit Unit,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,11,,,0.083333333,2015,4,11,0.083333333,0,1,11/1/15,618.9403202,2232.559432,11750
Operating,N. America Unnamed SSN,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,11,,0.333333333,0.333333333,2015,4,11,0.333333333,0,1,11/1/15,35553.42538,128593.4426,721971.5042
Operating,N. America Unnamed PPA,Unnamed,N. America,United States,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,52946.49761,189336.8146,1085714.286
Operating,UK Unnamed SCA Flight On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,136743.367,636276.9407,2317157.743
Operating,UK Unnamed SCA Flight Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Flight,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,89765.75813,407883.1283,1529721.009
Operating,UK Unnamed SCA Hotel On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,97065.69329,484205.9139,1869640.215
Operating,UK Unnamed SCA Hotel Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Hotel,Exit Unit,2015,4,11,,,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,148799.2744,720783.0798,2882632.586
Operating,UK Unnamed SCA Package On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Package,On Page,2015,4,11,,0.333333333,0.333333333,2015,4,11,0.333333333,0,1,11/1/15,4298.196668,16405.98512,81250
Operating,UK Unnamed SCA Package Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Package,Exit Unit,2015,4,11,,,0.333333333,2015,4,11,0.333333333,0,1,11/1/15,8252.537602,31499.49144,156000
Operating,UK Unnamed SCA Car On-Page,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SCA,Car,On Page,2015,4,11,,0.166666667,0.166666667,2015,4,11,0.166666667,0,1,11/1/15,859.6393336,3281.197025,16250
Operating,UK Unnamed SCA Car Exit Unit,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,Exit Unit,SCA,Car,Exit Unit,2015,4,11,,,0.166666667,2015,4,11,0.166666667,0,1,11/1/15,687.7114669,2624.95762,13000
Operating,UK Unnamed SSN,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,SSN,Hotel,On Page,2015,4,11,,0.166666667,0.166666667,2015,4,11,0.166666667,0,1,11/1/15,27850.46984,143372.5909,530833.3333
Operating,UK Unnamed PPA,Unnamed,Europe,United Kingdom,Lite,Unnamed,Unnamed,On Page,PPA,Hotel,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,124225.3375,616856.0701,2404285.714
Operating,France Unnamed SCA Flight On-Page,Unnamed,Europe,France,Lite,Unnamed,Unnamed,On Page,SCA,Flight,On Page,2015,4,11,,0.666666667,0.666666667,2015,4,11,0.666666667,0,1,11/1/15,134185.9393,534941.1986,2352396.713
