content,owner,noteable_id,noteable_type,noteable_name,created_at,id,noteable_company_name,noteable_first_name,noteable_last_name,updated_at
"REVENUE TIERS BY PRODUCT:

SCA: 
$0 - $5,000,000 = 70%
$5,000,001 - $10,000,000 = 73%
$10,000,001 - $20,000,000 = 76%
over $20,000,000 = 79%

SSN:
$0 - $3,000,000 = 80%
$3,000,001 - $6,000,000 = 83%
$6,000,001 - $10,000,000 = 85%
over $10,000,000 = 87.5%

PPA: 70% (flat)",Robert Moore,64116311,SalesAccount,,2014-06-27T19:24:02Z,16485074,"Orbitz Worldwide, Inc.",,,2014-07-01T17:02:38Z
Momondo Group / CheapFlights Meeting Notes 7/8/2014: http://goo.gl/wF7l4a,Robert Moore,64266107,SalesAccount,,2014-07-09T13:49:21Z,16895901,Momondo,,,2014-07-09T13:49:21Z
Meeting notes from 7/20/14: http://goo.gl/p7VUWS,Robert Moore,64266124,SalesAccount,,2014-07-11T11:20:34Z,17005588,TravelSupermarket,,,2014-07-11T11:20:34Z
Notes from 7/14/14 intro meeting: http://goo.gl/f3rekm,Robert Moore,65238482,SalesAccount,,2014-07-15T21:50:03Z,17470076,Vegas.com,,,2014-07-15T21:50:03Z
RM sent data questionnaire to NH on 7/15.,Robert Moore,65238482,SalesAccount,,2014-07-15T21:50:36Z,17470086,Vegas.com,,,2014-07-15T21:50:36Z
"Sizing assumes inline placement only (i.e., no 'above the button' treatment).",Robert Moore,3892235,Deal,LateRooms - PPA - Hotel - OP - Details Page,2014-07-15T23:35:27Z,17477572,,,,2014-07-15T23:35:27Z
Sizing assumes 'inline' treatment (not 'above the button') + intercard.,Robert Moore,3892237,Deal,LateRooms - PPA - Hotel - OP - List Page,2014-07-15T23:36:07Z,17477580,,,,2014-07-15T23:36:07Z
"Sizing assumes Details / List Page ratio of 1.1x, per company.",Robert Moore,3892238,Deal,LateRooms - SSN - Hotel - OP - Details Page,2014-07-15T23:39:13Z,17478334,,,,2014-07-15T23:39:13Z
RM completed deal sizings on 7/15/14.,Robert Moore,64266104,SalesAccount,,2014-07-15T23:58:43Z,17481331,LateRooms,,,2014-07-15T23:58:43Z
Sizing assumes 50% HP traffic + no pre-check.,Robert Moore,3892157,Deal,Hotwire - SCA - Flight - iFC,2014-07-16T14:35:02Z,17666133,,,,2014-07-16T14:35:02Z
Sizing assumes 50% HP traffic + no pre-check.,Robert Moore,3892164,Deal,Hotwire - SCA - Hotel - iFC,2014-07-16T14:35:30Z,17666174,,,,2014-07-16T14:35:30Z
Sizing assumes US traffic only.,Robert Moore,3892132,Deal,Hotels.com - SCA - Hotel - OP - Details Page,2014-07-16T15:08:56Z,17671438,,,,2014-07-16T15:08:56Z
Sizing assumes US traffic only.,Robert Moore,3892125,Deal,Hotels.com - SCA - Flight - OP - List Page,2014-07-16T15:09:18Z,17671453,,,,2014-07-16T15:09:18Z
Sizing assumes US traffic only.,Robert Moore,3892135,Deal,Hotels.com - SCA - Hotel - OP - List Page,2014-07-16T15:09:49Z,17671466,,,,2014-07-16T15:09:49Z
Sizing assumes US traffic only.,Robert Moore,3892152,Deal,Hotels.com - SCA - Flight - OP - Details Page,2014-07-16T15:10:30Z,17671486,,,,2014-07-16T15:10:30Z
Sizing assumes US traffic only.,Robert Moore,4033348,Deal,Hotels.com - SCA - Flight - Mobile Web - List Page,2014-07-16T15:10:58Z,17671502,,,,2014-07-16T15:10:58Z
Sizing assumes US traffic only.,Robert Moore,4033356,Deal,Hotels.com - SCA - Flight - XU,2014-07-16T15:11:12Z,17671509,,,,2014-07-16T15:11:12Z
Sizing assumes US traffic only.,Robert Moore,3892141,Deal,Hotels.com - SCA - Hotel - XU,2014-07-16T15:12:21Z,17671629,,,,2014-07-16T15:12:21Z
Sizing assumes US traffic only.,Robert Moore,3892147,Deal,Hotels.com - SCA - Package - OP - Details Page,2014-07-16T15:15:03Z,17671686,,,,2014-07-16T15:15:03Z
Sizing assumes US traffic only.,Robert Moore,3892139,Deal,Hotels.com - SCA - Package - OP - List Page,2014-07-16T15:15:30Z,17671699,,,,2014-07-16T15:15:30Z
Sizing assumes US traffic only.,Robert Moore,4033495,Deal,Hotels.com - SCA - Package - XU,2014-07-16T15:17:35Z,17671861,,,,2014-07-16T15:17:35Z
Sizing assumes US traffic only.,Robert Moore,4033490,Deal,Hotels.com - SCA - Package - Mobile Web,2014-07-16T15:17:56Z,17671919,,,,2014-07-16T15:17:56Z
"Sizing assumes: US traffic only, inline placement (no 'above the button' treatment) + intercard.",Robert Moore,3892144,Deal,Hotels.com - PPA - Hotel - OP - List Page,2014-07-16T15:21:19Z,17672484,,,,2014-08-02T04:57:01Z
"Sizing assumes: US traffic only, inline placement (no 'above the button' treatment).",Robert Moore,3892140,Deal,Hotels.com - PPA - Hotel - OP - Details Page,2014-07-16T15:22:41Z,17672666,,,,2014-08-02T04:54:58Z
Sizing assumes US traffic only.,Robert Moore,4033566,Deal,Hotels.com - SSN - Hotel - List Page,2014-07-16T15:25:07Z,17673147,,,,2014-07-16T15:25:07Z
Sizing assumes US traffic only.,Robert Moore,4033570,Deal,Hotels.com - SSN - Hotel - Details Page,2014-07-16T15:25:18Z,17673188,,,,2014-07-16T15:25:18Z
Sizing assumes US traffic only.,Robert Moore,4033595,Deal,Hotels.com - SSN - Package - Mobile Web,2014-07-16T15:29:12Z,17674197,,,,2014-07-16T15:29:12Z
Sizing assumes US traffic only.,Robert Moore,4033588,Deal,Hotels.com - SSN - Package - Details Page,2014-07-16T15:29:28Z,17674257,,,,2014-07-16T15:29:28Z
Sizing assumes US traffic only.,Robert Moore,4033579,Deal,Hotels.com - SSN - Package - List Page,2014-07-16T15:29:43Z,17674314,,,,2014-07-16T15:29:43Z
NOTE: Sizing assume 80% of listings are opaque / ineligible for ads.,Robert Moore,4033243,Deal,Hotwire - PPA - Hotel - List Page,2014-07-29T19:20:13Z,20314017,,,,2014-07-29T19:20:13Z
Note: Sizing assumes 80% of listings are opaque / ineligible for ads.,Robert Moore,4033246,Deal,Hotwire - PPA - Hotel - Details Page,2014-07-29T19:21:23Z,20314036,,,,2014-07-29T19:21:23Z
Note: Sizing assumes intercard + standard inline placements.,Robert Moore,3892120,Deal,Expedia.com - PPA - Hotel - OP - List Page,2014-07-29T19:30:42Z,20314701,,,,2014-07-29T19:30:42Z
Run Rate based on List Page Flight XU performance on XU overlay,Bhuwan Vashisht,3892213,Deal,KAYAK - SCA - Flight - IE11 XU Overlay,2014-08-27T18:17:38Z,22112240,,,,2014-08-27T18:17:38Z
